page,text_preview,num_tables_found
44,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L12. Kejadian Bencana Kekeringan Tahun 2024 Berdasarkan Provinsi.
Kode Wilayah Nama Provinsi Jumlah Kejadian Korban
Mengungsi &
Terdampak
(1) (2) (3) (4)
11 ACEH 1 19407
12 SUMATERA UTARA 2 2455
13 SUMATERA BARAT 1 1292
18 LAMPUNG 1 378
32 JAWA BARAT 25 167546
33 JAWA TENGAH 22 640840
34 DAERAH ISTIMEWA 3 55487
YOGYAKARTA
35 JAWA TIMUR 11 41070
36 BANTEN 2 3660
52 NUSA TENGGARA 9 518602
BARAT
53 NUSA TENGGARA 1 575
TIMUR
73 SULAWESI SELATAN 10 272",2
45,"Tabel L13. Kejadian Bencana Kekeringan Tahun 2024 Berdasarkan Kabupaten/Kota.
Kode Wilayah Nama Provinsi Kode Wilayah Kabupaten Nama Kabupaten Jumlah Kejadian Korban
Provinsi / Kota / Kota
Mengungsi &
Terdampak
(1) (2) (3) (4) (5) (6)
3216 BEKASI 2 48.591
3217 BANDUNG BARAT 1 1.605
3218 PANGANDARAN 1 914
3271 KOTA BOGOR 1 500
3274 KOTA CIREBON 1 4.452
3279 KOTA BANJAR 1 2.461
33 JAWA TENGAH 3301 CILACAP 2 89.495
3302 BANYUMAS 2 227.212
3305 KEBUMEN 2 19.431
3306 PURWOREJO 2 3.580
3309 BOYOLALI 1",1
46,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L13. Kejadian Bencana Kekeringan Tahun 2024 Berdasarkan Kabupaten/Kota. (Lanjutan)
Kode Wilayah Nama Provinsi Kode Wilayah Kabupaten Nama Kabupaten Jumlah Kejadian Korban
Provinsi / Kota / Kota
Mengungsi &
Terdampak
(1) (2) (3) (4) (5) (6)
5206 BIMA 1 23.716
5207 SUMBAWA BARAT 1 17.098
5208 LOMBOK UTARA 1 17.053
5272 KOTA BIMA 1 15.863
53 NUSA TENGGARA 5314 ROTE NDAO 1 575
TIMUR
73 SULAWESI SELATAN 7301 KEPULAUAN 2 1.966
SELAYAR
7304 JENEPONTO 5 5",1
47,"Gambar 16.3 Seorang nenek
sedang menyirami tanaman
yang di lahan yang tandus di
musim kemarau.
Data Bencana Indonesia 2024 155",0
48,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L14. Kejadian Bencana Kebakaran Hutan dan Lahan Tahun 2024 Berdasarkan Provinsi.
Kode Wilayah Nama Provinsi Jumlah Kejadian Korban Lahan Terbakar (Ha)
Mengungsi &
Terdampak a
(1) (2) (3) (4) (5)
11 ACEH 35 0 221,795
12 SUMATERA UTARA 170 4 1371,18
13 SUMATERA BARAT 7 0 13
14 RIAU 10 0 1309,75
15 JAMBI 79 0 174,11
16 SUMATERA SELATAN 192 0 1516,87
17 BENGKULU 1 0 18
18 LAMPUNG 7 0 747
19 KEPULAUAN BANGKA 19 251 64,61
BELITUNG
21 KEPULAUAN RIAU 58 0",1
49,"Tabel L15. Kejadian Bencana Kebakaran Hutan dan Lahan Tahun 2024 Berdasarkan Kabupaten/Kota.
Kode Nama Provinsi Kode Nama Kabupaten Jumlah Korban Jumlah Kejadian
Wilayah Wilayah / Kota Kejadian
Mengungsi &
Provinsi Kabupaten
Terdampak
/ Kota
(1) (2) (3) (4) (5) (6) (7)
11 ACEH 1101 ACEH SELATAN 4 - 31,7
1102 ACEH TENGGARA 3 - 14
1105 ACEH BARAT 3 - 69,595
1106 ACEH BESAR 10 - 33,2
1113 GAYO LUES 1 - 8
1114 ACEH JAYA 4 - 10,1
1115 NAGAN RAYA 2 - 13,2
1117 BENER MERIAH 8 - 42
12 SUMATERA 1201 TAPA",1
50,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L15. Kejadian Bencana Kebakaran Hutan dan Lahan Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Provinsi Kode Nama Kabupaten Jumlah Korban Jumlah Kejadian
Wilayah Wilayah / Kota Kejadian
Mengungsi &
Provinsi Kabupaten
Terdampak
/ Kota
(1) (2) (3) (4) (5) (6) (7)
1404 INDRAGIRI HILIR 1 - 200,8
1405 PELALAWAN 1 - 107,73
1410 KEPULAUAN 1 - 145,04
MERANTI
1472 KOTA DUMAI 3 - 261,3
15 JAMBI 1502 MERANGIN 8 - 20,51
1503 SAROLANGUN 1 - 89,6
1",1
51,"Tabel L15. Kejadian Bencana Kebakaran Hutan dan Lahan Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Provinsi Kode Nama Kabupaten Jumlah Korban Jumlah Kejadian
Wilayah Wilayah / Kota Kejadian
Mengungsi &
Provinsi Kabupaten
Terdampak
/ Kota
(1) (2) (3) (4) (5) (6) (7)
2104 LINGGA 2 - 2
2105 KEPULAUAN 2 - 2,5
ANAMBAS
2172 KOTA TANJUNG 1 - 1
PINANG
32 JAWA BARAT 3204 BANDUNG 4 - 8,7
3205 GARUT 1 - 2
3208 KUNINGAN 1 - 2
3209 CIREBON 3 - 9
3210 MAJALENGKA 2 - 14,09
3213 SUBANG 4 - 23
327",1
52,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L15. Kejadian Bencana Kebakaran Hutan dan Lahan Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Provinsi Kode Nama Kabupaten Jumlah Korban Jumlah Kejadian
Wilayah Wilayah / Kota Kejadian
Mengungsi &
Provinsi Kabupaten
Terdampak
/ Kota
(1) (2) (3) (4) (5) (6) (7)
3510 BANYUWANGI 9 - 10
3511 BONDOWOSO 15 - 2
3512 SITUBONDO 12 - 8
3513 PROBOLINGGO 10 -
3514 PASURUAN 12 - 37,8
3515 SIDOARJO 1 - 2
3516 MOJOKERTO 9 - 4,6
3517 JOMBANG 7 - 16
",1
53,"Tabel L15. Kejadian Bencana Kebakaran Hutan dan Lahan Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Provinsi Kode Nama Kabupaten Jumlah Korban Jumlah Kejadian
Wilayah Wilayah / Kota Kejadian
Mengungsi &
Provinsi Kabupaten
Terdampak
/ Kota
(1) (2) (3) (4) (5) (6) (7)
62 KALIMANTAN 6201 KOTAWARINGIN 1 - 14,58
TENGAH BARAT
6202 KOTAWARINGIN 1 - 20,29
TIMUR
6204 BARITO SELATAN 1 - 84,06
6205 BARITO UTARA 2 - 50,01
6206 KATINGAN 1 - 22,67
6207 SERUYAN 1 - 7,28
6208 SUKAMARA 3 - 348,68
6",1
54,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L16. Kejadian Bencana Gelombang Pasang dan Abrasi Tahun 2024 Berdasarkan Provinsi
Kode Nama Provinsi Jumlah Korban Kerusakan
Wilayah Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi
& Hilang Sakit Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13)
13 SUMATERA BARAT 3 - - 571 3 3 17 59 - - ",1
55,"Tabel L17. Kejadian Bencana Gelombang Pasang dan Abrasi Tahun 2024 Berdasarkan Kabupaten/Kota
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Terdampak Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15) (16)
13 SUMATERA 1305 ",1
56,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L18. Kejadian Bencana Gunungapi Tahun 2024 Berdasarkan Provinsi
Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13)
13 SUMATERA 3 42 2 6.406 176 12 48 235 - 1 -
BARAT
53 NUSA 3",2
